Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","28284.089","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","29347.708","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","30560.034","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","31622.704","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","32792.523","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","33831.764","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","34700.612","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","35688.935","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","36743.039","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","37856.121","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","39068.979","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","40000.412","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","40578.842","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","41454.761","X","Figure from external organization",""
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2024","2024","1000 No","42647.492","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","152201.981","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","153591.076","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","155070.101","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","156532.141","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","157964.929","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","159383.179","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","160811.933","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","162186.147","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","163523.103","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","164913.055","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","166298.024","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","167658.855","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","169384.897","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","171466.99","X","Figure from external organization",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2024","2024","1000 No","173562.364","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","1382449.985","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","1391242.343","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","1400655.332","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","1410287.993","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","1419354.592","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","1427652.016","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","1435681.095","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","1444079.121","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1450798.227","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1455351.282","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1457942.854","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1458174.603","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","1456769.951","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","1454058.724","X","Figure from external organization",""
"OA","Annual population","159","China","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2024","2024","1000 No","1450670.411","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","1243481.564","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","1261224.954","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","1278674.502","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","1295829.511","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","1312277.191","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","1328024.498","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","1343944.296","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","1359657.4","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1374659.064","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1389030.312","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1402617.695","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1414203.896","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","1425423.212","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","1438069.596","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2024","2024","1000 No","1450935.791","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","246305.322","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","249470.032","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","252698.525","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","255852.467","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","258877.399","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","261799.249","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","264627.418","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","267346.658","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","269951.846","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","272489.381","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","274814.866","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","276758.053","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","278830.529","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","281190.067","X","Figure from external organization",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2024","2024","1000 No","283487.931","X","Figure from external organization",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","77420.843","X","Figure from external organization",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","78383.598","X","Figure from external organization",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","79370.58","X","Figure from external organization",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","80414.686","X","Figure from external organization",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","81502.045","X","Figure from external organization",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","82619.362","X","Figure from external organization",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","83812.228","X","Figure from external organization",""
